Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:57:14 2021

Range: 61
Start Peak: 6179
Block size: 1
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Median
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)
1	0.5758498433802786	11	14545.745799999998	84.91147720794984	84.91124116583198
2	0.575849578878299	12	14545.739133333332	84.91139937306938	84.91124116583202
3	0.5758496740990116	9	14545.741533333332	84.9114273936222	84.91124116583202
4	0.575849462497428	16	14545.7362	84.91136512573324	84.91124116583198
5	0.5758496000384574	16	14545.739666666666	84.9114055998585	84.91124116583202
6	0.5758498989256944	17	14545.7472	84.91149355327926	84.911241165832
7	0.5758501925228916	10	14545.7546	84.9115799500467	84.91124116583202
8	0.575850382964317	12	14545.7594	84.91163599121662	84.911241165832
9	0.5758503194838418	12	14545.7578	84.91161731082458	84.911241165832
10	0.5758501925228916	14	14545.7546	84.9115799500467	84.91124116583202
11	0.575850033821704	11	14545.7506	84.91153324908586	84.91124116583198
12	0.575850033821704	5	14545.7506	84.91153324908586	84.91124116583198
13	0.575850097302179	13	14545.752199999998	84.91155192946864	84.91124116583198
14	0.5758501925228916	16	14545.7546	84.9115799500467	84.91124116583202
15	0.5758500179515852	17	14545.750199999998	84.9115285789905	84.91124116583202
16	0.5758497957699222	9	14545.7446	84.91146319766874	84.91124116583202
17	0.5758497164193284	5	14545.7426	84.91143984720276	84.91124116583198
18	0.5758497164193284	14	14545.7426	84.91143984720276	84.91124116583198
19	0.5758497481595658	14	14545.7434	84.91144918738874	84.91124116583202
20	0.5758495497830812	19	14545.7384	84.91139081123472	84.911241165832
21	0.575849578878299	14	14545.739133333332	84.91139937306938	84.91124116583202
22	0.5758492085755276	7	14545.7298	84.91129040429664	84.91124116583202
23	0.5758490921946564	8	14545.726866666666	84.91125615698252	84.91124116583202
24	0.5758493566966362	15	14545.733533333332	84.91133399179732	84.911241165832
25	0.5758492720560026	9	14545.731399999998	84.9113090846527	84.911241165832
26	0.5758494783675468	9	14545.7366	84.91136979582414	84.911241165832
27	0.575849525977903	7	14545.737799999998	84.91138380609756	84.91124116583202
28	0.575849875120516	10	14545.746599999998	84.91148654813788	84.91124116583202
29	0.5758501607826542	9	14545.753799999998	84.91157060985348	84.911241165832
30	0.5758502560033668	16	14545.7562	84.91159863043462	84.91124116583202
31	0.5758505416655048	19	14545.7634	84.9116826922057	84.91124116583198
32	0.5758502031029708	15	14545.754866666666	84.91158306344452	84.911241165832
33	0.5758503194838418	10	14545.7578	84.91161731082458	84.911241165832
34	0.575850097302179	11	14545.752199999998	84.91155192946864	84.91124116583198
35	0.575850240133248	15	14545.755799999998	84.91159396033742	84.911241165832
36	0.5758501607826542	10	14545.753799999998	84.91157060985348	84.911241165832
37	0.5758503670941982	11	14545.759	84.91163132111842	84.91124116583202
38	0.5758502242631292	13	14545.7554	84.9115892902404	84.91124116583202
39	0.575850097302179	16	14545.752199999998	84.91155192946864	84.91124116583198
40	0.5758501290424164	16	14545.752999999998	84.91156126966082	84.91124116583204
41	0.5758498433802786	11	14545.745799999998	84.91147720794984	84.91124116583198
42	0.5758502242631292	13	14545.7554	84.9115892902404	84.91124116583202
43	0.5758504781850296	15	14545.7618	84.91166401180854	84.91124116583202
44	0.5758504781850296	16	14545.7618	84.91166401180854	84.91124116583202
45	0.5758503194838418	13	14545.7578	84.91161731082458	84.911241165832
46	0.5758501290424164	12	14545.752999999998	84.91156126966082	84.91124116583204
47	0.5758499703412288	19	14545.749	84.91151456870514	84.911241165832
48	0.5758501449125354	19	14545.7534	84.9115659397571	84.911241165832
49	0.5758501925228916	6	14545.7546	84.9115799500467	84.91124116583202
50	0.575850097302179	7	14545.752199999998	84.91155192946864	84.91124116583198
51	0.5758501607826542	12	14545.753799999998	84.91157060985348	84.911241165832
52	0.5758500655619414	20	14545.7514	84.911542589277	84.91124116583202
53	0.5758501607826542	9	14545.753799999998	84.91157060985348	84.911241165832
54	0.575849864540437	9	14545.746333333332	84.91148343474182	84.91124116583202
55	0.5758497798998036	9	14545.7442	84.91145852757526	84.911241165832
56	0.5758493037962402	10	14545.732199999998	84.91131842483152	84.911241165832
57	0.575849293216161	17	14545.731933333332	84.91131531143854	84.91124116583202
58	0.5758495735882594	11	14545.739	84.91139781637212	84.91124116583202
59	0.57584969525917	12	14545.742066666666	84.91143362041238	84.911241165832
60	0.575849875120516	13	14545.746599999998	84.91148654813788	84.91124116583202
61	0.5758497798998036	10	14545.7442	84.91145852757526	84.911241165832
62	0.5758497164193284	12	14545.7426	84.91143984720276	84.91124116583198
63	0.5758499386009912	16	14545.7482	84.91150522851554	84.91124116583202
64	0.5758498433802786	13	14545.745799999998	84.91147720794984	84.91124116583198
65	0.5758500020814664	15	14545.7498	84.91152390889524	84.911241165832
66	0.5758499068607538	17	14545.7474	84.91149588832648	84.91124116583202
67	0.575849890990635	9	14545.747	84.9114912182321	84.911241165832
68	0.5758497481595658	8	14545.7434	84.91144918738874	84.91124116583202
69	0.5758492720560026	9	14545.731399999998	84.9113090846527	84.911241165832
70	0.575849525977903	10	14545.737799999998	84.91138380609756	84.91124116583202
71	0.5758496370687346	13	14545.7406	84.91141649674	84.91124116583198
72	0.5758497798998036	14	14545.7442	84.91145852757526	84.911241165832
73	0.5758492085755276	3	14545.7298	84.91129040429664	84.91124116583202
74	0.5758495418480218	15	14545.7382	84.91138847618896	84.91124116583198
75	0.5758500020814664	14	14545.7498	84.91152390889524	84.911241165832
76	0.575850033821704	11	14545.7506	84.91153324908586	84.91124116583198
77	0.5758497481595658	10	14545.7434	84.91144918738874	84.91124116583202
78	0.5758496000384574	10	14545.739666666666	84.9114055998585	84.91124116583202
79	0.5758498433802786	13	14545.745799999998	84.91147720794984	84.91124116583198
80	0.5758498433802786	9	14545.745799999998	84.91147720794984	84.91124116583198
81	0.5758493249563986	12	14545.732733333332	84.91132465161768	84.91124116583202
82	0.5758494307571904	12	14545.7354	84.91135578555188	84.911241165832
83	0.5758492244456464	17	14545.7302	84.91129507438548	84.91124116583202
84	0.575848891173152	11	14545.7218	84.91119700254708	84.911241165832
85	0.5758487324719642	12	14545.717799999998	84.91115030169156	84.911241165832
86	0.5758485102903014	14	14545.7122	84.91108492051546	84.91124116583198
87	0.5758483833293512	11	14545.708999999998	84.91104755985468	84.911241165832
88	0.575848425649668	11	14545.710066666666	84.91106001340734	84.91124116583202
89	0.5758487642122018	15	14545.7186	84.91115964186168	84.91124116583202
90	0.5758486372512516	8	14545.7154	84.91112228118444	84.91124116583198
91	0.5758484785500638	14	14545.7114	84.9110755803495	84.91124116583202
92	0.5758486689914892	8	14545.716199999998	84.91113162135296	84.911241165832
93	0.5758486689914892	20	14545.716199999998	84.91113162135296	84.911241165832
94	0.5758484785500638	9	14545.7114	84.9110755803495	84.91124116583202
95	0.5758485340954796	9	14545.7128	84.91109192564026	84.911241165832
96	0.5758487007317268	12	14545.716999999998	84.91114096152202	84.911241165832
97	0.5758487800823206	9	14545.719	84.91116431194688	84.911241165832
98	0.5758487007317268	9	14545.716999999998	84.91114096152202	84.911241165832
99	0.5758488435627956	11	14545.720599999998	84.91118299228908	84.91124116583198
100	0.575849060454419	13	14545.726066666666	84.91124681680712	84.91124116583202
101	0.5758490816145774	11	14545.7266	84.91125304359066	84.91124116583198
102	0.5758490498743398	10	14545.7258	84.91124370341544	84.91124116583198
103	0.5758489387835084	5	14545.723	84.91121101280626	84.91124116583204
104	0.5758489229133896	14	14545.7226	84.91120634271972	84.91124116583202
105	0.5758491133548148	10	14545.7274	84.91126238376638	84.91124116583202
106	0.575849525977903	8	14545.737799999998	84.91138380609756	84.91124116583202
107	0.5758496211986158	15	14545.7402	84.91141182664786	84.91124116583202
108	0.5758489229133896	14	14545.7226	84.91120634271972	84.91124116583202
109	0.5758488753030332	11	14545.721399999998	84.91119233246096	84.91124116583202
110	0.5758487642122018	14	14545.7186	84.91115964186168	84.91124116583202
111	0.5758490816145774	15	14545.7266	84.91125304359066	84.91124116583198
112	0.5758490287141814	14	14545.725266666666	84.91123747663224	84.91124116583198
113	0.5758491133548148	8	14545.7274	84.91126238376638	84.91124116583202
114	0.575849240315765	14	14545.730599999998	84.91129974447442	84.91124116583202
115	0.5758493037962402	14	14545.732199999998	84.91131842483152	84.911241165832
116	0.5758491027747358	8	14545.727133333332	84.9112592703744	84.911241165832
117	0.5758491450950524	13	14545.7282	84.91127172394262	84.91124116583202
118	0.575849462497428	7	14545.7362	84.91136512573324	84.91124116583198
119	0.5758493990169528	10	14545.7346	84.91134644537102	84.91124116583202
120	0.5758493355364778	7	14545.733	84.91132776501084	84.91124116583198
121	0.5758494466273092	11	14545.735799999998	84.9113604556425	84.91124116583202
122	0.575849097484696	11	14545.726999999998	84.91125771367844	84.911241165832
123	0.5758487642122018	14	14545.7186	84.91115964186168	84.91124116583202
124	0.5758486160910932	11	14545.714866666666	84.9111160544057	84.911241165832
125	0.5758487007317268	5	14545.716999999998	84.91114096152202	84.911241165832
126	0.5758485314504598	11	14545.712733333332	84.91109114729302	84.91124116583202
127	0.5758489546536272	12	14545.723399999998	84.91121568289288	84.911241165832
128	0.5758491133548148	11	14545.7274	84.91126238376638	84.91124116583202
129	0.5758490816145774	7	14545.7266	84.91125304359066	84.91124116583198
130	0.5758492720560026	14	14545.731399999998	84.9113090846527	84.911241165832
131	0.575849034004221	13	14545.7254	84.91123903332802	84.91124116583202
132	0.5758489758137856	4	14545.723933333332	84.91122190967526	84.91124116583198
133	0.5758493143763194	15	14545.732466666666	84.91132153822458	84.91124116583202
134	0.5758494783675468	9	14545.7366	84.91136979582414	84.911241165832
135	0.575849605328497	15	14545.7398	84.9114071565558	84.911241165832
136	0.5758494942376654	9	14545.737	84.91137446591516	84.91124116583204
