Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:55:31 2021

Range: 61
Start Peak: 6179
Block size: 2
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Gaussian Mean
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)	Fit Sigma (us)	Fit Amplitude
2	0.5758497011055868	23	14545.742214023262	84.9114353408348	84.91124116583198	0.007031606995582556	1.837313342693374
4	0.5758552534058056	25	14545.882157530862	84.91306922159426	84.91124116583202	-0.0004805857050037774	-13.456790123456794
12	0.5758535552987184	1	14545.839357420514	84.9125695163095	84.91124116583202	-0.0004805857050037774	-13.456790123456794
14	0.5758500743505592	27	14545.7516215136	84.9115451755013	84.91124116583202	-0.0004805857050037774	-13.456790123456794
16	0.5758498783417698	26	14545.746681190412	84.91148749605508	84.91124116583202	480901294.6222516	0.01645996126389039
18	0.5758496795255128	19	14545.741670106126	84.91142899047624	84.911241165832	0.00010147466531456648	-0.396406508603007
20	0.575855377385097	33	14545.885282379348	84.91310570527978	84.91124116583202	0.007763232207896122	2.1990350020706
30	0.5758541677917176	1	14545.854795061728	84.91274975564954	84.91124116583202	0.005729383666134516	2.229954563397128
32	0.5758496352325596	19	14545.740553719948	84.91141595640974	84.91124116583202	0.0010389794767536738	4.743144057650304
34	0.5758547787353112	21	14545.870193650794	84.91292953923396	84.911241165832	0.0001536950495683684	-13.456790123456794
36	0.5758570913223018	1	14545.92848148148	84.91361007052346	84.91124116583202	0.0001536950495683684	-13.456790123456794
38	0.5758569183591892	1	14545.924122015368	84.9135591721016	84.91124116583202	0.0001536950495683684	-13.456790123456794
58	0.575858367779671	1	14545.96065407924	84.91398569828764	84.91124116583202	0.0001536950495683684	-13.456790123456794
124	0.575860288930464	1	14546.009075917034	84.9145510439024	84.91124116583202	0.0001536950495683684	-13.456790123456794
158	0.575863302521598	1	14546.08503227695	84.91543787060162	84.91124116583202	1.592141042496755e-05	1.558641975308645
380	0.5758649459521706	1	14546.126454287604	84.91592149426708	84.911241165832	0.01800474178722165	3.244265910565474
444	0.5758652370328968	1	14546.133790860954	84.91600715274638	84.911241165832	-0.005292051130949944	-2.222222222222225
564	0.5758665558501602	1	14546.167031122908	84.9163952514031	84.91124116583202	4.485095868083704e-05	2.407407407407407
582	0.5758673601184044	1	14546.187302382514	84.91663193013636	84.91124116583198	0.00011646187689881114	-0.03940934071828136
694	0.5758669829911676	1	14546.177797041256	84.91652094971362	84.91124116583198	0.00011646187689881114	-0.03940934071828136
768	0.5758663871152682	1	14546.162778227404	84.91634559641906	84.911241165832	0.00011646187689881114	-0.03940934071828136
808	0.57586784291963	1	14546.199471194414	84.9167740082437	84.91124116583198	0.00011646187689881114	-0.03940934071828136

Error Parameters
startMS: 1
stopMS: 1
fitSlope: 2.056973174777155e-08
fitSlope [#/s]: 1.841206757842488e-08
fitShift: 0.575853834517133
tEffBlock: 122.15195530726256
tEffStart: 0
tEffStop: 895
tFitStdev: 4.876010953756292e-06
blockSum: 207
blockCnt: 22

List of B
MS	B	Peak(us)	Intensity	Mode
1	0.5758497011055868	14545.742214023262	23	START	ch1
2	0.5758497011055868	14545.882157530862	25	1-0	ch1
3	0.5758524772556962	14545.882157530862	25	1-0	ch1
4	0.5758552534058056	14545.839357420514	1	2-2	ch1
5	0.5758550411424196	14545.839357420514	1	2-2	ch1
6	0.5758548288790336	14545.839357420514	1	2-2	ch1
7	0.5758546166156478	14545.839357420514	1	2-2-Fit	ch1
8	0.575854404352262	14545.839357420514	1	2-2-Fit	ch1
9	0.575854192088876	14545.839357420514	1	2-2-Fit	ch1
10	0.5758539798254902	14545.839357420514	1	2-2-Fit	ch1
11	0.5758537675621044	14545.839357420514	1	2-2-Fit	ch1
12	0.5758535552987184	14545.7516215136	27	3-10	ch1
13	0.5758518148246388	14545.7516215136	27	3-10	ch1
14	0.5758500743505592	14545.746681190412	26	4-12	ch1
15	0.5758499763461646	14545.746681190412	26	4-12	ch1
16	0.5758498783417698	14545.741670106126	19	5-14	ch1
17	0.5758497789336414	14545.741670106126	19	5-14	ch1
18	0.5758496795255128	14545.885282379348	33	6-16	ch1
19	0.575852528455305	14545.885282379348	33	6-16	ch1
20	0.575855377385097	14545.854795061728	1	7-18	ch1
21	0.5758552564257592	14545.854795061728	1	7-18	ch1
22	0.5758551354664212	14545.854795061728	1	7-18	ch1
23	0.5758550145070832	14545.854795061728	1	7-18-Fit	ch1
24	0.5758548935477452	14545.854795061728	1	7-18-Fit	ch1
25	0.5758547725884074	14545.854795061728	1	7-18-Fit	ch1
26	0.5758546516290696	14545.854795061728	1	7-18-Fit	ch1
27	0.5758545306697316	14545.854795061728	1	7-18-Fit	ch1
28	0.5758544097103936	14545.854795061728	1	7-18-Fit	ch1
29	0.5758542887510556	14545.854795061728	1	7-18-Fit	ch1
30	0.5758541677917176	14545.740553719948	19	8-28	ch1
31	0.5758519015121386	14545.740553719948	19	8-28	ch1
32	0.5758496352325596	14545.870193650794	21	9-30	ch1
33	0.5758522069839354	14545.870193650794	21	9-30	ch1
34	0.5758547787353112	14545.92848148148	1	10-32	ch1
35	0.5758559350288066	14545.92848148148	1	10-32	ch1
36	0.5758570913223018	14545.924122015368	1	11-34	ch1
37	0.5758570048407454	14545.924122015368	1	11-34	ch1
38	0.5758569183591892	14545.96065407924	1	12-36	ch1
39	0.5758569908302132	14545.96065407924	1	12-36	ch1
40	0.5758570633012374	14545.96065407924	1	12-36	ch1
41	0.5758571357722614	14545.96065407924	1	12-36-Fit	ch1
42	0.5758572082432856	14545.96065407924	1	12-36-Fit	ch1
43	0.5758572807143096	14545.96065407924	1	12-36-Fit	ch1
44	0.5758573531853338	14545.96065407924	1	12-36-Fit	ch1
45	0.5758574256563578	14545.96065407924	1	12-36-Fit	ch1
46	0.575857498127382	14545.96065407924	1	12-36-Fit	ch1
47	0.575857570598406	14545.96065407924	1	12-36-Fit	ch1
48	0.5758576430694302	14545.96065407924	1	12-36-Fit	ch1
49	0.5758577155404542	14545.96065407924	1	12-36-Fit	ch1
50	0.5758577880114782	14545.96065407924	1	12-36-Fit	ch1
51	0.5758578604825024	14545.96065407924	1	12-36-Fit	ch1
52	0.5758579329535266	14545.96065407924	1	12-36-Fit	ch1
53	0.5758580054245506	14545.96065407924	1	12-36-Fit	ch1
54	0.5758580778955746	14545.96065407924	1	12-36-Fit	ch1
