Model: emg22	Value	Error
amp	0.23814402129133283	0.002028722667960421
mu	75.93448756961702	3.3504050214209513e-06
sigma	6.088383381058396e-05	2.404241668962893e-06
theta	0.1583042305935787	0.01976915228512799
eta_m1	0.678626624545744	0.09688060966798569
eta_m2	0.32137337545425604	0.09688060944798293
tau_m1	9.91087106295325e-05	2.4385227643229345e-05
tau_m2	0.0003269222728945297	6.771598420608528e-05
eta_p1	0.8295654012812607	0.0281725932409575
eta_p2	0.17043459871873934	0.028172593269453594
tau_p1	4.136502661803036e-05	5.518836159447277e-06
tau_p2	0.0001670538333234895	1.526233544720929e-05
bkg_c	0.6746587191267109	0.09350140229482468
